Category,Name,Portion(fl oz),Calories,Calories from fat,Total Fat(g),Saturated fat(g),Trans fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrate(g),Dietary Fiber(g),Sugars(g),Protein(g),Caffeine(mg),Size,Milk,Whipped Cream
refreshers,Violet Drink,16,110,25,3,2.5,0,0,0,22,1,19,0,45,Grande,,
refreshers,Violet Drink,24,160,35,4,4,0,0,0,31,1,28,1,70,Venti Iced,,
refreshers,Violet Drink,30,230,50,6,5,0,0,0,44,3,39,1,90,Trenta Iced,,
evolution-fresh,Evolution Fresh® Orange,11,170,0,0,0,0,0,10,39,0,35,3,0,Tall,,
evolution-fresh,Evolution Fresh® Organic Defense Up,11,170,0,0,0,0,0,0,41,0,37,2,0,Grande,,
evolution-fresh,Evolution Fresh® Organic Green Devotion,11,35,0,0,0,0,0,300,7,1,5,3,0,Venti,,
evolution-fresh,Evolution Fresh® Organic Super Fruit Greens,11,180,0,0,0,0,0,170,41,3,36,3,0,Trenta Iced,,
iced-tea,Nitro Lemon Fog,12,180,90,10,6,0,30,20,21,0,18,0,0,Tall,,
iced-tea,Nitro Lemon Fog,16,260,140,16,10,0.5,50,25,29,0,25,1,0,Grande,,
iced-tea,Nitro Lemon Fog,24,320,160,18,11,0.5,55,35,41,0,35,1,0,Venti Iced,,
iced-tea,Teavana® Shaken Iced Black Tea,30,70,0,0,0,0,0,20,19,0,19,0,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Black Tea,12,30,0,0,0,0,0,5,8,0,8,0,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Black Tea,16,45,0,0,0,0,0,10,11,0,11,0,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Black Tea,24,60,0,0,0,0,0,15,16,0,16,0,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,30,170,0,0,0,0,0,20,43,0,41,0,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,12,70,0,0,0,0,0,5,17,0,16,0,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,16,90,0,0,0,0,0,10,23,0,22,0,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,24,130,0,0,0,0,0,15,34,0,33,0,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Green Tea,30,70,0,0,0,0,0,20,19,0,19,0,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Green Tea,12,30,0,0,0,0,0,5,8,0,8,0,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Green Tea,16,45,0,0,0,0,0,10,11,0,11,0,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Green Tea,24,60,0,0,0,0,0,15,16,0,16,0,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,30,170,0,0,0,0,0,15,43,0,41,0,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,12,70,0,0,0,0,0,5,17,0,16,0,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,16,90,0,0,0,0,0,10,23,0,22,0,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,24,140,0,0,0,0,0,15,34,0,33,0,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,30,70,0,0,0,0,0,20,19,0,19,0,0,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,12,30,0,0,0,0,0,5,8,0,8,0,0,Tall,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,16,45,0,0,0,0,0,10,11,0,11,0,0,Grande,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,24,60,0,0,0,0,0,15,16,0,16,0,0,Venti Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,30,170,0,0,0,0,0,15,43,0,41,0,0,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,12,70,0,0,0,0,0,5,17,0,16,0,0,Tall,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,16,90,0,0,0,0,0,10,23,0,22,0,0,Grande,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,24,140,0,0,0,0,0,15,34,0,33,0,0,Venti Iced,,
bottled-drinks,Starbucks® Iced Coffee Light Sweetened,8,50,0,0,0,0,0,0,11,0,11,1,110,Tall,,
bottled-drinks,Starbucks® Iced Coffee Unsweetened,8,10,0,0,0,0,0,0,2,0,0,1,110,Grande,,
bottled-drinks,Starbucks® Iced Latte - Pumpkin Spice Latte,14,270,40,4.5,3,0,15,190,45,0,42,11,150,Venti,,
bottled-drinks,Teavana® Mango Black Tea,14.5,100,0,0,0,0,0,10,24,0,22,0,55,Tall,,
bottled-drinks,Teavana® Pineapple Berry Iced Tea,14.5,90,0,0,0,0,0,10,22,0,21,0,0,Tall,,
brewed-coffee,Blonde Roast,16,5,0,0,0,0,0,10,0,0,0,1,360,Grande,,
brewed-coffee,Blonde Roast,8,5,0,0,0,0,0,5,0,0,0,0,180,Short,,
brewed-coffee,Blonde Roast,12,5,0,0,0,0,0,10,0,0,0,0,270,Tall,,
brewed-coffee,Blonde Roast,20,5,0,0,0,0,0,10,0,0,0,1,475,Venti,,
brewed-coffee,Caffè Misto,8,30,15,2,0,0,0,50,2,0,2,1,75,Short,Almond,
brewed-coffee,Caffè Misto,8,40,20,2.5,2.5,0,0,45,4,0,3,0,75,Short,Coconut,
brewed-coffee,Caffè Misto,8,35,0,0,0,0,0,45,5,0,5,4,75,Short,Nonfat milk,
brewed-coffee,Caffè Misto,8,70,30,3.5,2,0,10,50,5,0,5,3,75,Short,Whole Milk,
brewed-coffee,Caffè Misto,8,50,20,2,1,0,10,50,5,0,5,4,75,Short,2% Milk,
brewed-coffee,Caffè Misto,8,50,15,1.5,0,0,0,40,6,0,5,3,75,Short,Soy (United States),
brewed-coffee,Caffè Misto,12,40,25,2.5,0,0,0,75,3,1,2,1,115,Tall,Almond,
brewed-coffee,Caffè Misto,12,60,35,3.5,3.5,0,0,70,6,0,5,1,115,Tall,Coconut,
brewed-coffee,Caffè Misto,12,60,0,0,0,0,5,70,8,0,8,6,115,Tall,Nonfat milk,
brewed-coffee,Caffè Misto,12,100,45,5,3,0,15,70,8,0,8,5,115,Tall,Whole Milk,
brewed-coffee,Caffè Misto,12,80,30,3,1.5,0,15,80,8,0,8,5,115,Tall,2% Milk,
brewed-coffee,Caffè Misto,12,80,20,2.5,0,0,0,60,10,1,8,4,115,Tall,Soy (United States),
brewed-coffee,Caffè Misto,16,50,30,3.5,0,0,0,95,4,1,3,2,115,Grande,Almond,
brewed-coffee,Caffè Misto,16,70,40,4.5,4.5,0,0,90,7,0,7,1,150,Grande,Coconut,
brewed-coffee,Caffè Misto,16,70,0,0,0,0,5,90,10,0,10,7,150,Grande,Nonfat milk,
brewed-coffee,Caffè Misto,16,130,60,7,4,0,20,95,10,0,10,7,150,Grande,Whole Milk,
brewed-coffee,Caffè Misto,16,110,35,4,2,0,15,100,10,0,10,7,150,Grande,2% Milk,
brewed-coffee,Caffè Misto,16,100,30,3,0,0,0,80,13,1,10,6,150,Grande,Soy (United States),
brewed-coffee,Caffè Misto,20,60,30,3.5,0,0,0,100,4,1,3,2,150,Venti,Almond,
brewed-coffee,Caffè Misto,20,80,45,5,4.5,0,0,90,7,0,7,1,195,Venti,Coconut,
brewed-coffee,Caffè Misto,20,90,0,0,0,0,5,115,13,0,13,9,195,Venti,Nonfat milk,
brewed-coffee,Caffè Misto,20,160,80,9,5,0,25,120,13,0,13,9,195,Venti,Whole Milk,
brewed-coffee,Caffè Misto,20,130,45,5,2.5,0,20,130,13,0,13,9,195,Venti,2% Milk,
brewed-coffee,Caffè Misto,20,130,35,4,0.5,0,0,100,16,1,13,7,195,Venti,Soy (United States),
brewed-coffee,Clover® Brewed Coffee,16,10,0,0,0,0,0,10,0,0,0,1,375,Grande,,
brewed-coffee,Clover® Brewed Coffee,8,10,0,0,0,0,0,5,0,0,0,0,170,Short,,
brewed-coffee,Clover® Brewed Coffee,12,10,0,0,0,0,0,10,0,0,0,0,280,Tall,,
brewed-coffee,Clover® Brewed Coffee,20,10,0,0,0,0,0,10,0,0,0,1,445,Venti,,
iced-coffee,Cold Brew with Cascara Cold Foam,12,50,0,0,0,0,0,25,11,0,11,1,145,Tall,,
iced-coffee,Cold Brew with Cascara Cold Foam,16,80,0,0,0,0,0,30,17,0,17,2,190,Grande,,
iced-coffee,Cold Brew with Cascara Cold Foam,24,100,0,0,0,0,0,40,22,0,22,2,280,Venti Iced,,
iced-coffee,Cold Brew with Cascara Cold Foam,30,130,0,0,0,0,0,45,28,0,28,2,320,Trenta Iced,,
brewed-coffee,Cold Brew with Cold Foam,12,30,0,0,0,0,0,20,5,0,5,1,155,Tall,,
brewed-coffee,Cold Brew with Cold Foam,16,35,0,0,0,0,0,30,7,0,7,2,205,Grande,,
brewed-coffee,Cold Brew with Cold Foam,24,40,0,0,0,0,0,35,7,0,7,2,310,Venti Iced,,
brewed-coffee,Cold Brew with Cold Foam,30,45,0,0,0,0,0,40,8,0,8,2,360,Trenta Iced,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,12,160,90,10,6,0,30,240,17,0,17,1,140,Tall,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,16,230,130,14,9,0,45,330,23,0,23,2,185,Grande,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,24,280,150,17,11,0.5,55,400,30,0,30,3,275,Venti Iced,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,30,340,190,21,13,0.5,65,490,36,0,36,3,320,Trenta Iced,,
brewed-coffee,Decaf Pike Place® Roast,8,5,0,0,0,0,0,5,0,0,0,0,15,Short,,
brewed-coffee,Decaf Pike Place® Roast,12,5,0,0,0,0,0,5,0,0,0,0,20,Tall,,
brewed-coffee,Decaf Pike Place® Roast,16,5,0,0,0,0,0,10,0,0,0,1,25,Grande,,
brewed-coffee,Decaf Pike Place® Roast,20,5,0,0,0,0,0,10,0,0,0,1,30,Venti,,
brewed-coffee,Featured Dark Roast,8,5,0,0,0,0,0,5,0,0,0,0,130,Short,,
brewed-coffee,Featured Dark Roast,12,5,0,0,0,0,0,10,0,0,0,0,195,Tall,,
brewed-coffee,Featured Dark Roast,16,5,0,0,0,0,0,10,0,0,0,1,260,Grande,,
brewed-coffee,Featured Dark Roast,20,5,0,0,0,0,0,10,0,0,0,1,340,Venti,,
iced-coffee,Iced Coffee,30,160,0,0,0,0,0,15,40,0,39,1,280,Trenta Iced,,Sweetened
iced-coffee,Iced Coffee,30,5,0,0,0,0,0,10,0,0,0,1,330,Trenta Iced,,Unsweetened
iced-coffee,Iced Coffee,12,60,0,0,0,0,0,10,15,0,15,0,120,Tall,,Sweetened
iced-coffee,Iced Coffee,12,0,0,0,0,0,0,0,0,0,0,0,140,Tall,,Unsweetened
iced-coffee,Iced Coffee,16,80,0,0,0,0,0,10,20,0,20,0,165,Grande,,Sweetened
iced-coffee,Iced Coffee,16,5,0,0,0,0,0,5,0,0,0,0,190,Grande,,Unsweetened
iced-coffee,Iced Coffee,24,120,0,0,0,0,0,15,30,0,30,0,235,Venti Iced,,Sweetened
iced-coffee,Iced Coffee,24,5,0,0,0,0,0,10,0,0,0,0,275,Venti Iced,,Unsweetened
iced-coffee,Iced Coffee with Milk,30,35,20,2.5,0,0,0,75,3,1,2,1,240,Trenta Iced,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,30,210,25,3,3,0,0,70,44,0,44,1,190,Trenta Iced,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,30,50,25,3,3,0,0,60,5,0,4,1,240,Trenta Iced,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,30,210,0,0,0,0,5,70,46,0,46,5,190,Trenta Iced,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,30,50,0,0,0,0,5,65,7,0,7,5,240,Trenta Iced,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,30,240,40,4.5,2.5,0,15,75,46,0,46,5,190,Trenta Iced,Whole Milk,Sweetened
